id,transaction_date,value_date,description,reference,credit,debit,balance,bank_utr
tx_bank_0017,2026-08-16T15:21:00,2026-08-16T15:21:00,RZPY/AXIS40737204/SETL_CREDIT,REF_737204,6834.8,0.0,1520924.01,AXIS40737204
tx_bank_deb_01,2026-08-16T19:00:00,2026-08-16T19:00:00,NEFT/DEBIT/OFFICE LEASE & MAINTENANCE,DR_13360,0.0,85000.0,8136919.25,DR_UTR_558669
tx_bank_0299,2026-08-16T23:28:00,2026-08-16T23:28:00,RZPY/AXIS13522788/SETL_CREDIT,REF_522788,9905.6,0.0,8169144.52,AXIS13522788
tx_bank_0267,2026-08-17T08:06:00,2026-08-17T08:06:00,NEFT-RZP-AXIS21518907-PAYMENTS,REF_518907,3036.72,0.0,7525914.48,AXIS21518907
tx_bank_0255,2026-08-17T11:18:00,2026-08-17T11:18:00,RZPY/AXIS12005448/SETL_CREDIT,REF_005448,20243.35,0.0,7314123.67,AXIS12005448
tx_bank_0211,2026-08-17T13:00:00,2026-08-17T13:00:00,NEFT/RZPY/AXIS47824471/SETTLEMENT/16Aug,REF_824471,19336.93,0.0,6236640.39,AXIS47824471
tx_bank_0302,2026-08-17T15:06:00,2026-08-17T15:06:00,NEFT-RZP-AXIS87558199-PAYMENTS,REF_558199,12625.1,0.0,8243919.25,AXIS87558199
tx_bank_0018,2026-08-17T20:56:00,2026-08-17T20:56:00,RAZORPAY-AXIS99255596-SETL-CREDIT,REF_255596,6933.92,0.0,1527857.93,AXIS99255596
tx_bank_0001,2026-08-18T11:47:00,2026-08-18T11:47:00,RZPY/AXIS65791626/SETL_CREDIT,REF_791626,4952.8,0.0,1254952.8,AXIS65791626
tx_bank_0047,2026-08-18T15:08:00,2026-08-18T15:08:00,RAZORPAY-AXIS70486666-SETL-CREDIT,REF_486666,7432.51,0.0,2210348.41,AXIS70486666
tx_bank_0254,2026-08-18T16:05:00,2026-08-21T16:05:00,NEFT-RZP-AXIS38027431-PAYMENTS,REF_027431,12371.56,0.0,7293880.32,AXIS38027431
tx_bank_0142,2026-08-19T04:34:00,2026-08-19T04:34:00,RZPY/AXIS72150455/SETL_CREDIT,REF_150455,5262.48,0.0,4760990.27,AXIS72150455
tx_bank_0003,2026-08-19T08:46:00,2026-08-19T08:46:00,RAZORPAY-AXIS41193292-SETL-CREDIT,REF_193292,3930.92,0.0,1320768.74,AXIS41193292
tx_bank_0062,2026-08-19T13:43:00,2026-08-22T13:43:00,NEFT/RZPY/AXIS56752592/SETTLEMENT/18Aug,REF_752592,20552.4,0.0,2681134.63,AXIS56752592
tx_bank_0006,2026-08-19T15:10:00,2026-08-19T15:10:00,NEFT-RZP-AXIS39334741-PAYMENTS,REF_334741,2450.22,0.0,1338388.56,AXIS39334741
