settlement_id,bank_transaction_id,true_match_status,true_exception_type,true_difference,anomaly_label
setl_0001,tx_bank_0001,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0002,tx_bank_0002,PARTIAL,DUPLICATE_ENTRY,30942.51,DUPLICATE_BANK_ENTRY
setl_0003,tx_bank_0003,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0004,tx_bank_0004,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0005,tx_bank_0005,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0006,tx_bank_0006,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0007,tx_bank_0007,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0008,tx_bank_0008,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0009,tx_bank_0009,MISMATCH,REFUND_MISMATCH,300.0,REFUND_MISMATCH
setl_0010,tx_bank_0010,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0011,tx_bank_0011,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0012,tx_bank_0012,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0013,tx_bank_0013,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0014,tx_bank_0014,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0015,tx_bank_0015,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0016,tx_bank_0016,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0017,tx_bank_0017,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0018,tx_bank_0018,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0019,tx_bank_0019,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0020,tx_bank_0020,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0021,tx_bank_0021,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0022,tx_bank_0022,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0023,tx_bank_0023,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0024,tx_bank_0024,MATCHED,TIMING_DIFFERENCE,0.0,TIMING_DIFFERENCE
setl_0025,tx_bank_0025,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0026,tx_bank_0026,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0027,tx_bank_0027,MISMATCH,AMOUNT_MISMATCH,450.0,AMOUNT_MISMATCH
setl_0028,tx_bank_0028,MATCHED,NONE,0.0,CLEAN_MATCH
setl_0029,tx_bank_0029,MATCHED,NONE,0.0,CLEAN_MATCH
