settlement_id,payment_id,type,amount,fee,tax
setl_0001,pay_0001,payment,5000.0,40.0,7.2
setl_0002,pay_0002,payment,5000.0,40.0,7.2
setl_0002,pay_0003,payment,8000.0,160.0,28.8
setl_0002,pay_0004,payment,3684.23,29.47,5.3
setl_0002,pay_0005,payment,2738.98,21.91,3.94
setl_0002,pay_0006,payment,5000.0,100.0,18.0
setl_0002,pay_0007,payment,7000.0,56.0,10.08
setl_0003,pay_0008,payment,3968.38,31.75,5.71
setl_0004,pay_0009,payment,5000.0,100.0,18.0
setl_0005,pay_0010,payment,2500.0,20.0,3.6
setl_0005,pay_0011,payment,8000.0,160.0,28.8
setl_0006,pay_0012,payment,2494.38,37.42,6.74
setl_0007,pay_0013,payment,10000.0,80.0,14.4
setl_0008,pay_0014,refund,2500.0,20.0,3.6
setl_0008,pay_0015,payment,7845.38,117.68,21.18
setl_0008,pay_0016,payment,720.96,5.77,1.04
setl_0009,pay_0017,payment,2245.32,17.96,3.23
setl_0009,pay_0018,payment,17056.0,136.45,24.56
setl_0009,pay_0019,payment,5000.0,100.0,18.0
setl_0010,pay_0020,payment,4983.17,39.87,7.18
setl_0011,pay_0021,payment,6393.13,95.9,17.26
setl_0011,pay_0022,payment,10000.0,80.0,14.4
setl_0011,pay_0023,payment,1783.86,35.68,6.42
setl_0011,pay_0024,payment,5000.0,40.0,7.2
setl_0012,pay_0025,payment,7577.96,60.62,10.91
setl_0012,pay_0026,payment,5000.0,75.0,13.5
setl_0013,pay_0027,payment,10000.0,80.0,14.4
setl_0013,pay_0028,payment,1908.66,15.27,2.75
setl_0014,pay_0029,payment,23629.58,189.04,34.03
setl_0014,pay_0030,payment,6213.67,93.21,16.78
setl_0014,pay_0031,payment,2500.0,37.5,6.75
setl_0015,pay_0032,payment,10000.0,80.0,14.4
setl_0015,pay_0033,payment,5000.0,40.0,7.2
setl_0016,pay_0034,refund,8000.0,64.0,11.52
setl_0016,pay_0035,payment,23961.81,191.69,34.5
setl_0016,pay_0036,payment,5000.0,100.0,18.0
setl_0017,pay_0037,payment,7000.0,140.0,25.2
setl_0018,pay_0038,payment,7000.0,56.0,10.08
setl_0019,pay_0039,payment,14276.67,114.21,20.56
setl_0019,pay_0040,payment,5000.0,100.0,18.0
setl_0019,pay_0041,payment,18551.25,278.27,50.09
setl_0019,pay_0042,payment,2500.0,50.0,9.0
setl_0019,pay_0043,payment,7000.0,105.0,18.9
setl_0020,pay_0044,payment,5000.0,40.0,7.2
setl_0021,pay_0045,payment,7000.0,140.0,25.2
