id,merchant_id,amount,gross_amount,fees,tax,utr,status,settlement_period,created_at,target_anomaly
setl_0001,mer_001,4952.8,5000.0,40.0,7.2,AXIS65791626,processed,2026-08-17 Batch,2026-08-18T07:47:00,CLEAN_MATCH
setl_0002,mer_001,30942.51,31423.21,407.38,73.32,AXIS35440639,processed,2026-08-25 Batch,2026-08-26T22:10:00,DUPLICATE_BANK_ENTRY
setl_0003,mer_001,3930.92,3968.38,31.75,5.71,AXIS41193292,processed,2026-08-18 Batch,2026-08-19T04:46:00,CLEAN_MATCH
setl_0004,mer_001,4882.0,5000.0,100.0,18.0,AXIS63974248,processed,2026-08-28 Batch,2026-08-29T13:14:00,CLEAN_MATCH
setl_0005,mer_001,10287.6,10500.0,180.0,32.4,AXIS18860555,processed,2026-08-22 Batch,2026-08-24T00:56:00,CLEAN_MATCH
setl_0006,mer_001,2450.22,2494.38,37.42,6.74,AXIS39334741,processed,2026-08-18 Batch,2026-08-19T09:10:00,CLEAN_MATCH
setl_0007,mer_001,9905.6,10000.0,80.0,14.4,AXIS81965066,processed,2026-08-23 Batch,2026-08-24T11:43:00,CLEAN_MATCH
setl_0008,mer_001,9897.07,11066.34,143.45,25.82,AXIS94674464,processed,2026-08-22 Batch,2026-08-23T13:07:00,CLEAN_MATCH
setl_0009,mer_001,24001.12,24301.32,254.41,45.79,AXIS33532534,processed,2026-08-24 Batch,2026-08-25T14:05:00,REFUND_MISMATCH
setl_0010,mer_001,4936.12,4983.17,39.87,7.18,AXIS54977061,processed,2026-08-25 Batch,2026-08-26T03:14:00,CLEAN_MATCH
setl_0011,mer_001,22880.13,23176.99,251.58,45.28,AXIS78588767,processed,2026-08-28 Batch,2026-08-29T21:04:00,CLEAN_MATCH
setl_0012,mer_001,12417.93,12577.96,135.62,24.41,AXIS12847211,processed,2026-08-29 Batch,2026-08-30T11:10:00,CLEAN_MATCH
setl_0013,mer_001,11796.24,11908.66,95.27,17.15,AXIS93183615,processed,2026-08-27 Batch,2026-08-28T09:50:00,CLEAN_MATCH
setl_0014,mer_001,31965.94,32343.25,319.75,57.56,AXIS37113563,processed,2026-08-24 Batch,2026-08-25T18:37:00,CLEAN_MATCH
setl_0015,mer_001,14858.4,15000.0,120.0,21.6,AXIS90272292,processed,2026-08-27 Batch,2026-08-28T15:00:00,CLEAN_MATCH
setl_0016,mer_001,33342.1,36961.81,355.69,64.02,AXIS52619317,processed,2026-08-29 Batch,2026-08-30T13:47:00,CLEAN_MATCH
setl_0017,mer_001,6834.8,7000.0,140.0,25.2,AXIS40737204,processed,2026-08-15 Batch,2026-08-16T12:21:00,CLEAN_MATCH
setl_0018,mer_001,6933.92,7000.0,56.0,10.08,AXIS99255596,processed,2026-08-16 Batch,2026-08-17T13:56:00,CLEAN_MATCH
setl_0019,mer_001,46563.89,47327.92,647.48,116.55,AXIS61202173,processed,2026-08-29 Batch,2026-08-30T03:14:00,CLEAN_MATCH
setl_0020,mer_001,4952.8,5000.0,40.0,7.2,AXIS75987111,processed,2026-08-25 Batch,2026-08-26T16:25:00,TIMING_DIFFERENCE
setl_0021,mer_001,14759.28,15000.0,204.0,36.72,AXIS26852512,processed,2026-08-29 Batch,2026-08-30T03:21:00,CLEAN_MATCH
setl_0022,mer_001,11828.9,12000.0,145.0,26.1,AXIS78105370,processed,2026-08-18 Batch,2026-08-19T18:02:00,CLEAN_MATCH
setl_0023,mer_001,14759.28,15000.0,204.0,36.72,AXIS36512868,processed,2026-08-29 Batch,2026-08-30T16:39:00,CLEAN_MATCH
setl_0024,mer_001,29173.36,29689.96,437.8,78.8,AXIS48299416,processed,2026-08-25 Batch,2026-08-26T08:41:00,TIMING_DIFFERENCE
setl_0025,mer_001,14329.09,14475.71,124.25,22.37,AXIS20739561,processed,2026-08-29 Batch,2026-08-31T02:39:00,CLEAN_MATCH
setl_0026,mer_001,33940.32,34347.16,344.78,62.06,AXIS66733465,processed,2026-08-27 Batch,2026-08-28T04:28:00,CLEAN_MATCH
setl_0027,mer_001,6933.92,7000.0,56.0,10.08,AXIS61193233,processed,2026-08-20 Batch,2026-08-21T22:48:00,AMOUNT_MISMATCH
setl_0028,mer_001,26120.04,31500.0,322.0,57.96,AXIS33581963,processed,2026-08-28 Batch,2026-08-30T01:16:00,CLEAN_MATCH
setl_0029,mer_001,37030.83,37383.73,299.07,53.83,AXIS60351362,processed,2026-08-29 Batch,2026-08-31T01:25:00,CLEAN_MATCH
setl_0030,mer_001,7024.67,7091.61,56.73,10.21,AXIS30766764,processed,2026-08-27 Batch,2026-08-28T20:54:00,CLEAN_MATCH
setl_0031,mer_001,33018.56,43500.0,408.0,73.44,AXIS60232033,processed,2026-08-30 Batch,2026-08-31T06:49:00,CLEAN_MATCH
setl_0032,mer_001,50891.02,53395.07,427.16,76.89,AXIS60082660,processed,2026-08-28 Batch,2026-08-29T04:06:00,CLEAN_MATCH
setl_0033,mer_001,1229.77,1241.49,9.93,1.79,AXIS64866540,processed,2026-08-28 Batch,2026-08-29T04:19:00,FEE_TAX_MISMATCH
setl_0034,mer_001,30400.77,30876.32,403.01,72.54,AXIS31791910,processed,2026-08-26 Batch,2026-08-27T14:48:00,CLEAN_MATCH
setl_0035,mer_001,30441.06,30766.89,276.12,49.71,AXIS75581713,processed,2026-08-29 Batch,2026-08-30T06:58:00,CLEAN_MATCH
setl_0036,mer_001,36592.9,37000.0,345.0,62.1,AXIS43123836,processed,2026-08-28 Batch,2026-08-29T11:42:00,CLEAN_MATCH
setl_0037,mer_001,43759.5,45248.6,414.49,74.61,AXIS13792466,processed,2026-08-28 Batch,2026-08-29T14:29:00,CLEAN_MATCH
setl_0038,mer_001,34693.94,35068.46,317.39,57.13,AXIS43207452,processed,2026-08-27 Batch,2026-08-28T19:21:00,CLEAN_MATCH
setl_0039,mer_001,44066.5,44708.62,544.17,97.95,AXIS61586279,processed,2026-08-29 Batch,2026-08-30T13:02:00,CLEAN_MATCH
setl_0040,mer_001,9311.2,9500.0,160.0,28.8,AXIS66766698,processed,2026-08-26 Batch,2026-08-27T20:01:00,AMOUNT_MISMATCH
setl_0041,mer_001,25979.9,26407.78,362.61,65.27,AXIS51336223,processed,2026-08-27 Batch,2026-08-28T04:53:00,CLEAN_MATCH
setl_0042,mer_001,6857.92,6923.28,55.39,9.97,AXIS95386667,processed,2026-08-19 Batch,2026-08-20T09:46:00,CLEAN_MATCH
setl_0043,mer_001,35375.56,35914.99,457.14,82.29,AXIS63414658,processed,2026-08-26 Batch,2026-08-27T16:56:00,CLEAN_MATCH
setl_0044,mer_001,2476.4,2500.0,20.0,3.6,AXIS23001760,processed,2026-08-25 Batch,2026-08-26T21:03:00,CLEAN_MATCH
setl_0045,mer_001,34348.74,41824.33,510.28,91.85,AXIS97848347,processed,2026-08-28 Batch,2026-08-29T12:08:00,CLEAN_MATCH
